Second,Count,Tempo (BPM),Beat Times (s)
111.5,1411,[139.67483108],95.6778231292517
112.0,1364,[139.67483108],96.08417233560093
112.5,1328,[139.67483108],96.50213151927436
113.0,1339,[139.67483108],96.93170068027212
113.5,1350,[139.67483108],97.36126984126984
114.0,1301,[139.67483108],97.79083900226756
114.5,1183,[139.67483108],98.2204081632653
115.0,1244,[139.67483108],98.64997732426303
115.5,1157,[139.67483108],99.07954648526078
116.0,1199,[139.67483108],99.49750566893424
116.5,1255,[139.67483108],99.92707482993195
117.0,1284,[139.67483108],100.35664399092973
117.5,1250,[139.67483108],100.78621315192744
118.0,1303,[139.67483108],101.21578231292516
118.5,1259,[139.67483108],101.6453514739229
119.0,1261,[139.67483108],102.07492063492064
119.5,1252,[139.67483108],102.50448979591836
120.0,1320,[139.67483108],102.92244897959183
120.5,1325,[139.67483108],103.36362811791383
121.0,1325,[139.67483108],103.79319727891156
121.5,1312,[139.67483108],104.2227664399093
122.0,1319,[139.67483108],104.64072562358275
122.5,1363,[139.67483108],105.0702947845805
123.0,1304,[139.67483108],105.49986394557824
123.5,1296,[139.67483108],105.92943310657596
124.0,1334,[139.67483108],106.3590022675737
124.5,1334,[139.67483108],106.78857142857144
125.0,1342,[139.67483108],107.21814058956916
125.5,1280,[139.67483108],107.64770975056688
126.0,1295,[139.67483108],108.07727891156462
126.5,1319,[139.67483108],108.4952380952381
127.0,1281,[139.67483108],108.92480725623582
127.5,1313,[139.67483108],109.35437641723357
128.0,1295,[139.67483108],109.81877551020408
128.5,1330,[139.67483108],110.29478458049888
129.0,1331,[139.67483108],110.78240362811792
129.5,1259,[139.67483108],111.28163265306122
130.0,1343,[139.67483108],111.71120181405897
130.5,1288,[139.67483108],112.15238095238097
131.0,1391,[139.67483108],112.57034013605444
131.5,1285,[139.67483108],112.99990929705216
132.0,1279,[139.67483108],113.42947845804989
132.5,1263,[139.67483108],113.87065759637188
133.0,1277,[139.67483108],114.31183673469388
133.5,1362,[139.67483108],114.71818594104307
134.0,1294,[139.67483108],115.13614512471656
134.5,1354,[139.67483108],115.58893424036282
135.0,1323,[139.67483108],116.00689342403628
135.5,1360,[139.67483108],116.42485260770977
136.0,1420,[139.67483108],116.85442176870748
136.5,1396,[139.67483108],117.29560090702948
137.0,1340,[139.67483108],117.73678004535148
137.5,1199,[139.67483108],118.14312925170069
138.0,1230,[139.67483108],118.5726984126984
138.5,1169,[139.67483108],119.00226757369614
139.0,1211,[139.67483108],119.43183673469387
139.5,1201,[139.67483108],119.8614058956916
140.0,1168,[139.67483108],120.29097505668936
140.5,1273,[139.67483108],120.72054421768708
141.0,1200,[139.67483108],121.1501133786848
141.5,1246,[139.67483108],121.56807256235828
142.0,1245,[139.67483108],121.997641723356
142.5,1245,[139.67483108],122.42721088435374
143.0,1358,[139.67483108],122.85678004535148
143.5,1180,[139.67483108],123.2863492063492
144.0,1136,[139.67483108],123.71591836734694
144.5,1188,[139.67483108],124.14548752834467
145.0,1153,[139.67483108],124.5750566893424
145.5,1139,[139.67483108],125.00462585034012
146.0,1307,[139.67483108],125.4225850340136
146.5,1186,[139.67483108],125.8637641723356
147.0,1129,[139.67483108],126.29333333333334
147.5,1147,[139.67483108],126.7112925170068
148.0,1217,[139.67483108],127.14086167800454
148.5,1154,[139.67483108],127.58204081632653
149.0,1144,[139.67483108],128.0
149.5,1233,[139.67483108],128.42956916099774
150.0,1162,[139.67483108],128.8475283446712
150.5,1006,[139.67483108],129.2887074829932
151.0,1051,[139.67483108],129.71827664399092
151.5,1280,[139.67483108],130.14784580498866
152.0,1421,[139.67483108],130.5774149659864
152.5,1791,[139.67483108],131.00698412698412
153.0,2067,[139.67483108],131.43655328798187
153.5,2212,[139.67483108],131.85451247165534
154.0,2710,[139.67483108],132.28408163265306
154.5,2917,[139.67483108],132.7136507936508
155.0,3309,[139.67483108],133.14321995464852
155.5,2668,[139.67483108],133.57278911564626
156.0,2038,[139.67483108],134.002358276644
156.5,1793,[139.67483108],134.43192743764172
157.0,1543,[139.67483108],134.86149659863946
157.5,1558,[139.67483108],135.29106575963718
158.0,1599,[139.67483108],135.72063492063492
158.5,1696,[139.67483108],136.1502040816327
159.0,1763,[139.67483108],136.5681632653061
159.5,2110,[139.67483108],136.99773242630386
160.0,2033,[139.67483108],137.4273015873016
160.5,2043,[139.67483108],137.86848072562358
161.0,2018,[139.67483108],138.28643990929706
161.5,2445,[139.67483108],138.71600907029477
162.0,2607,[139.67483108],139.14557823129252
162.5,3070,[139.67483108],139.57514739229026
163.0,2613,[139.67483108],140.00471655328798
163.5,2151,[139.67483108],140.42267573696145
164.0,2114,[139.67483108],140.86385487528344
164.5,1686,[139.67483108],141.2818140589569
165.0,1860,[139.67483108],141.72299319727892
165.5,2216,[139.67483108],142.14095238095237
166.0,2589,[139.67483108],142.57052154195011
166.5,2571,[139.67483108],143.00009070294786
167.0,2411,[139.67483108],143.42965986394557
167.5,1698,[139.67483108],143.85922902494332
168.0,1404,[139.67483108],144.28879818594103
168.5,1182,[139.67483108],144.71836734693878
169.0,908,[139.67483108],145.14793650793652
169.5,799,[139.67483108],145.57750566893424
170.0,762,[139.67483108],145.9954648526077
170.5,774,[139.67483108],146.42503401360543
171.0,867,[139.67483108],146.85460317460317
171.5,904,[139.67483108],147.2841723356009
172.0,962,[139.67483108],147.71374149659863
172.5,914,[139.67483108],148.14331065759637
173.0,810,[139.67483108],148.57287981859412
173.5,851,[139.67483108],149.00244897959183
174.0,798,[139.67483108],149.43201814058958
174.5,647,[139.67483108],149.8615873015873
175.0,620,[139.67483108],150.27954648526077
175.5,527,[139.67483108],150.6162358276644
176.0,367,[139.67483108],151.01097505668935
176.5,194,[139.67483108],151.40571428571428
177.0,64,[139.67483108],151.80045351473922
177.5,22,[139.67483108],152.23002267573696
178.0,11,[139.67483108],152.64798185941044
178.5,5,[139.67483108],153.07755102040815
179.0,1,[139.67483108],153.5071201814059
179.5,3,[139.67483108],153.93668934240364
180.0,1,[139.67483108],154.36625850340135
180.5,1,[139.67483108],154.7958276643991
