0,1,2,3,4,5,6,7,8,9,10,11
0.21837015,0.13306645,0.21907471,0.2237647,0.44630033,0.24027024,0.3283815,0.4930694,0.1365257,0.1412086,0.22058979,0.37056425
0.5441884,0.18271837,0.10046269,0.19535822,0.5376173,0.4595632,0.4974885,0.3459767,0.32342252,0.37087798,0.22561708,0.35967672
0.6567476,0.37077388,0.33505368,0.29943895,0.38913748,0.3309473,0.6627204,0.47799528,0.33461776,0.44999522,0.37148184,0.48230645
0.47268805,0.34414694,0.29375327,0.21204044,0.40794742,0.23971087,0.37926272,0.5988465,0.31049603,0.113404654,0.15553904,0.44981796
0.3309405,0.24687189,0.32086003,0.42560285,0.6896359,0.24492297,0.16215171,0.21683973,0.111078665,0.09073733,0.16491774,0.4352239
0.83716965,0.48825398,0.26903355,0.22043695,0.3939537,0.16217187,0.21572636,0.49798304,0.1831902,0.11023092,0.1955721,0.5037835
0.3456944,0.43569428,0.43553326,0.14713423,0.16525298,0.19490682,0.16329785,0.34311092,0.12710232,0.24136162,0.15361701,0.19689895
0.30019635,0.21965426,0.41207898,0.39359438,0.7151331,0.42817432,0.18282387,0.14352207,0.103268415,0.18046927,0.07952157,0.22528625
0.4588503,0.2847822,0.34809172,0.529903,0.7137157,0.28657246,0.1840919,0.2491763,0.14318061,0.2348594,0.20864584,0.29113683
0.5232486,0.40078536,0.3815144,0.3840057,0.7603584,0.40249106,0.34811482,0.38911676,0.42335698,0.48629972,0.4149998,0.48674396
0.18385616,0.14917594,0.21121864,0.32568276,0.79820555,0.27803895,0.103561394,0.21324994,0.36356282,0.11429851,0.07959399,0.2002564
0.57870394,0.24611533,0.31093967,0.32395905,0.5208845,0.21358734,0.31181073,0.28945398,0.18853174,0.17180055,0.1439517,0.4966588
0.6040376,0.3170512,0.24729826,0.14138713,0.27139917,0.28832397,0.57049507,0.5517853,0.31249693,0.32503062,0.19852982,0.3267775
0.09802548,0.06994212,0.15592973,0.23352513,0.5013571,0.2089052,0.2358791,0.4503255,0.24347265,0.30492276,0.090973645,0.12613961
0.29575405,0.15502965,0.08891574,0.26169178,0.7318112,0.38298526,0.36449438,0.35480765,0.31849042,0.38206252,0.23925819,0.27940628
0.7632754,0.4820577,0.31139547,0.29174772,0.4455494,0.2975715,0.35607848,0.6405117,0.4733972,0.4310322,0.36219195,0.47268403
0.26982605,0.16640398,0.22557159,0.15304548,0.34122437,0.30966693,0.36999014,0.4926043,0.18864858,0.1101866,0.15807016,0.42050183
0.16887492,0.24404706,0.582891,0.49560437,0.37654403,0.263765,0.34622335,0.21025881,0.21952696,0.34016645,0.26598436,0.3303009
0.68920374,0.3745618,0.3370277,0.17599247,0.15007204,0.21104777,0.6336816,0.30395532,0.21094559,0.32662803,0.20615216,0.41604194
0.30972198,0.24085249,0.38708216,0.2925888,0.30226475,0.23473243,0.382397,0.5913187,0.21937692,0.38035953,0.2928987,0.38421884
0.35680604,0.20321025,0.18495497,0.39558446,0.676796,0.3849043,0.20268092,0.119953945,0.1282793,0.20796594,0.19033514,0.26656172
0.58705926,0.345143,0.23372732,0.37040234,0.6544454,0.28132138,0.21094126,0.29028335,0.37291297,0.5341827,0.4071817,0.47063354
0.37218803,0.27040565,0.32578796,0.41770053,0.50421625,0.52508885,0.42664376,0.5633668,0.3929228,0.41956863,0.3009334,0.41087177
0.13699287,0.10914587,0.21598433,0.37871298,0.77402496,0.2890375,0.15904047,0.21910666,0.16099292,0.105222866,0.12610997,0.29207465
0.6494039,0.37002203,0.34251654,0.29955462,0.45745122,0.19555423,0.17393246,0.34089172,0.16363595,0.19927362,0.26267317,0.55401117
0.64220595,0.25356963,0.15285204,0.11649879,0.1948538,0.22729197,0.30210233,0.3159119,0.19208786,0.24216203,0.19490947,0.5928264
0.25551757,0.111155845,0.21374086,0.17319821,0.4251693,0.19945666,0.2681834,0.40820646,0.11188956,0.084955014,0.17689043,0.44577396
0.55786496,0.20148082,0.109878585,0.24435034,0.63614947,0.39721325,0.32102838,0.4902035,0.29064244,0.29810086,0.21356486,0.44109526
0.89263844,0.3844202,0.1711097,0.24868444,0.42536008,0.18179998,0.22677475,0.4745468,0.29863676,0.2902775,0.23854373,0.47690144
0.32708284,0.2512017,0.2518777,0.18226036,0.39617184,0.22326598,0.22807401,0.47455725,0.35918567,0.20761925,0.217608,0.43743894
0.2583393,0.3603563,0.7065186,0.3928815,0.2668748,0.15091713,0.25924027,0.32103023,0.30395162,0.4892116,0.21940449,0.25378892
0.98169076,0.4310703,0.24862713,0.13102835,0.13591245,0.18013622,0.47655353,0.29591912,0.14438033,0.21903025,0.14792287,0.42755535
0.29361,0.40135977,0.37693915,0.14288658,0.17873898,0.2600319,0.25898603,0.3503928,0.17634103,0.24488407,0.27301297,0.41028893
0.29378036,0.17502941,0.21890263,0.2314362,0.5779115,0.3868717,0.27985895,0.21433906,0.09490261,0.15743698,0.11607763,0.26377463
0.40823552,0.22758242,0.34425098,0.53610057,0.6855971,0.26513755,0.2449066,0.3289318,0.23887089,0.33128238,0.26448134,0.33568075
0.5725624,0.32494685,0.2327707,0.26981217,0.6947473,0.29855022,0.22111447,0.29621354,0.14188245,0.116609305,0.15060875,0.3849651
0.37921408,0.25443938,0.45794657,0.54361725,0.67582744,0.23606096,0.15895069,0.22148319,0.13145103,0.18256971,0.23946221,0.2760874
0.29630378,0.40471658,0.74428254,0.29517588,0.22575134,0.22746916,0.4234731,0.24161838,0.24287564,0.5147105,0.15697616,0.18155803
0.12968884,0.2995967,0.6504941,0.21711223,0.11753335,0.23357302,0.57612896,0.23522344,0.21616328,0.41093135,0.1056098,0.06299101
0.4741833,0.42171118,0.49927732,0.33899662,0.40139717,0.33773062,0.39356476,0.47753334,0.33717677,0.34702742,0.30731866,0.4491803
0.8672952,0.6814519,0.54374856,0.5668409,0.75081253,0.44375855,0.37070295,0.44891736,0.50045294,0.6401207,0.53356004,0.67175245
0.56479543,0.6466509,0.80262357,0.6178106,0.50639004,0.4449088,0.47548085,0.42965588,0.54614484,0.7759072,0.5664192,0.52783644
0.37320602,0.3200424,0.69868094,0.44709933,0.3181294,0.23458639,0.34029904,0.31780815,0.2504104,0.44417048,0.27352053,0.35151634
0.59441847,0.6134978,0.8424588,0.4955814,0.43922612,0.38829175,0.40423185,0.37992495,0.42613572,0.6073437,0.37398538,0.43866056
0.572471,0.49904072,0.55082184,0.53710085,0.72873974,0.61240536,0.5988475,0.70361173,0.53308374,0.52573663,0.5013462,0.571053
0.6969307,0.4648426,0.44970757,0.45670766,0.5802275,0.5337397,0.5398557,0.71182346,0.5486106,0.5310186,0.4413528,0.5765212
0.5392816,0.6284341,0.8045594,0.5748923,0.53232586,0.42657,0.49037313,0.36829615,0.4492171,0.7409791,0.64520276,0.5703762
0.48441458,0.6111249,0.82437027,0.6329789,0.47805578,0.32136622,0.27703413,0.29498336,0.43031812,0.68344694,0.53748816,0.44224882
0.26595148,0.44642776,0.9178492,0.43666485,0.33207747,0.2154621,0.20904736,0.1989617,0.30158386,0.54716814,0.32629013,0.2791456
0.30240673,0.4123525,0.7844572,0.5052055,0.422583,0.32018015,0.3340689,0.37205783,0.42814592,0.6147343,0.34715575,0.31135225
0.5592347,0.4979902,0.5137074,0.48090708,0.6821665,0.5224376,0.39901263,0.51164937,0.43380874,0.45944786,0.49699113,0.47485787
0.49230728,0.4117664,0.40344882,0.43713245,0.577215,0.46695134,0.4618289,0.6063919,0.54932857,0.5011976,0.43879828,0.53779465
0.404896,0.3706666,0.43341312,0.38500488,0.374404,0.32200134,0.5503534,0.44835326,0.46946725,0.8364021,0.5578571,0.4942399
0.61729854,0.4858303,0.53218406,0.5107063,0.6885745,0.41882288,0.54576933,0.6996596,0.5020179,0.66862816,0.49823278,0.55652386
0.60017,0.64240134,0.7862298,0.6942398,0.7217226,0.44509405,0.4187417,0.4857597,0.5371767,0.7701503,0.59159285,0.56403476
0.31128192,0.38573128,0.667922,0.5008018,0.5599728,0.3532961,0.4201485,0.33409163,0.3290671,0.50218767,0.3945478,0.41947702
0.5133016,0.5197603,0.74589515,0.47243175,0.45283982,0.3944681,0.41799238,0.43492788,0.5238455,0.7651245,0.44289842,0.40761158
0.81550163,0.6034402,0.4309784,0.4255184,0.5309145,0.40488446,0.39892432,0.672006,0.43265104,0.3925747,0.37862125,0.46585584
0.58389074,0.43958834,0.46239874,0.4636707,0.5593686,0.5311046,0.58816975,0.838433,0.75953656,0.69600624,0.64591646,0.70612186
0.39381108,0.4237179,0.6755207,0.4882719,0.46448144,0.37675694,0.31584057,0.3194401,0.4164186,0.72037375,0.4331961,0.36535513
0.465302,0.5446337,0.838271,0.69259465,0.70912015,0.59066695,0.5025043,0.4491599,0.48841015,0.57364994,0.49979946,0.48810858
0.6280294,0.5389234,0.71193975,0.6569352,0.59498817,0.5203484,0.5586014,0.5644721,0.45373616,0.5019761,0.42868096,0.5758794
0.46030554,0.39543295,0.6950974,0.44439396,0.34588832,0.31103322,0.3430007,0.31166956,0.27581367,0.4934549,0.2924062,0.41844475
0.6342358,0.6404376,0.66149265,0.65306914,0.7317312,0.46688706,0.4076794,0.4759815,0.43988302,0.45863107,0.43298584,0.5235289
0.5691618,0.38479167,0.3704339,0.39466104,0.57330644,0.4347505,0.45008048,0.55752,0.48497838,0.44799045,0.43253246,0.4660737
0.2741755,0.28691244,0.4174961,0.37515432,0.41632542,0.44021454,0.7957965,0.49099398,0.45213634,0.6997586,0.455544,0.35865086
