Second,Count,0,1,2,3,4,5,6,7,8,9,10,11
15.0,4468,0.3165618,0.36840993,0.4446741,0.3493327,0.37631106,0.46289945,0.4003959,0.49013928,0.427981,0.68581903,0.6041959,0.37406757
15.5,4568,0.28253606,0.3575921,0.47177035,0.26382905,0.2718533,0.31114325,0.3918088,0.5437529,0.33408594,0.40305546,0.46764958,0.45653298
16.0,4782,0.3645282,0.427281,0.6506491,0.35499212,0.5125417,0.6346048,0.5957275,0.87076664,0.54671395,0.4556676,0.37070334,0.42735502
16.5,5038,0.2755462,0.5164965,0.7387558,0.7027315,0.5291811,0.35006234,0.18761717,0.15357254,0.15015495,0.17159241,0.19198844,0.21182369
17.0,5190,0.34710976,0.5989026,0.7929134,0.4512221,0.18807244,0.10935061,0.13978307,0.09715558,0.1518444,0.23779286,0.18189336,0.22559094
17.5,5281,0.47569522,0.4435475,0.496328,0.37545547,0.3220077,0.27238202,0.29344684,0.19605228,0.26871088,0.4462781,0.4783447,0.60221094
18.0,5206,0.393414,0.48426893,0.49898872,0.3836697,0.5113244,0.5009051,0.4785879,0.4999741,0.49641928,0.6304292,0.53352857,0.43415177
18.5,5060,0.44867852,0.35352203,0.44329035,0.6023089,0.43839717,0.38557371,0.47857663,0.34564573,0.36292276,0.44686,0.52790743,0.76744485
19.0,5077,0.7540678,0.7398022,0.7112877,0.6181377,0.5561494,0.3956219,0.37049392,0.35272056,0.3607757,0.48166066,0.47950938,0.69306177
19.5,5107,0.78159624,0.75477594,0.7608475,0.74728453,0.8183984,0.73946184,0.6842351,0.6522124,0.61190575,0.75802064,0.7164516,0.80210334
20.0,5239,0.74940896,0.7625847,0.6827738,0.6239967,0.65802443,0.48739854,0.48911893,0.51397324,0.49694133,0.66185766,0.56655097,0.7177862
20.5,5222,0.5813702,0.59769243,0.63969016,0.49079615,0.43662643,0.4507496,0.38046458,0.38567945,0.46638453,0.47211266,0.3992708,0.44113493
21.0,5113,0.45341644,0.52107453,0.44289482,0.31542107,0.39827666,0.37700173,0.47370422,0.66125035,0.4512842,0.563748,0.53225666,0.38584945
21.5,5063,0.32850453,0.23102403,0.25349692,0.2870675,0.22367488,0.22576904,0.28673837,0.23458818,0.23961653,0.4372207,0.55217004,0.7539998
22.0,5253,0.7038424,0.52878547,0.55788225,0.5185215,0.66138196,0.56607175,0.642689,0.7839753,0.6078543,0.56555533,0.5547449,0.58892876
