Second,Count,Tempo (BPM),Beat Times (s)
32.0,4276,[107.66601562],35.97931972789116
32.5,3806,[107.66601562],36.548208616780045
33.0,3296,[107.66601562],37.093877551020405
33.5,3810,[107.66601562],37.65115646258504
34.0,4004,[107.66601562],38.1968253968254
34.5,4046,[107.66601562],38.75410430839002
35.0,4235,[107.66601562],39.29977324263039
35.5,4398,[107.66601562],39.86866213151927
36.0,4479,[107.66601562],40.4259410430839
36.5,4111,[107.66601562],40.983219954648526
37.0,4252,[107.66601562],41.56371882086168
37.5,4435,[107.66601562],42.09777777777778
38.0,4539,[107.66601562],42.6550566893424
38.5,4535,[107.66601562],43.21233560090703
39.0,4418,[107.66601562],43.75800453514739
39.5,4420,[107.66601562],44.30367346938775
40.0,4319,[107.66601562],44.872562358276646
40.5,4259,[107.66601562],45.41823129251701
41.0,3645,[107.66601562],45.97551020408163
41.5,3646,[107.66601562],46.509569160997735
42.0,3395,[107.66601562],47.09006802721088
42.5,3293,[107.66601562],47.63573696145125
43.0,3640,[107.66601562],48.193015873015874
43.5,3710,[107.66601562],48.73868480725624
44.0,3768,[107.66601562],49.30757369614513
44.5,3563,[107.66601562],49.86485260770975
45.0,3944,[107.66601562],50.42213151927437
45.5,3160,[107.66601562],50.95619047619048
46.0,2926,[107.66601562],51.536689342403626
46.5,2897,[107.66601562],52.082358276644
47.0,3603,[107.66601562],52.63963718820862
47.5,3300,[107.66601562],53.19691609977324
48.0,3088,[107.66601562],53.75419501133787
48.5,3075,[107.66601562],54.29986394557823
49.0,2225,[107.66601562],54.86875283446712
49.5,2793,[107.66601562],55.40281179138322
50.0,3238,[107.66601562],55.97170068027211
50.5,3776,[107.66601562],56.52897959183674
51.0,3381,[107.66601562],57.08625850340136
51.5,3707,[107.66601562],57.62031746031746
52.0,3849,[107.66601562],58.20081632653061
52.5,3814,[107.66601562],58.746485260770974
53.0,3848,[107.66601562],59.3037641723356
53.5,5226,[107.66601562],59.8378231292517
54.0,4569,[107.66601562],60.41832199546485
54.5,5263,[107.66601562],60.97560090702948
55.0,6390,[107.66601562],61.5328798185941
55.5,6133,[107.66601562],62.07854875283447
56.0,4729,[107.66601562],62.61260770975057
56.5,4270,[107.66601562],63.19310657596372
57.0,4274,[107.66601562],63.622675736961455
57.5,4882,[107.66601562],64.2960544217687
58.0,5299,[107.66601562],64.8649433106576
58.5,5428,[107.66601562],65.41061224489796
59.0,5117,[107.66601562],65.97950113378685
59.5,6128,[107.66601562],66.51356009070295
60.0,6288,[107.66601562],67.08244897959183
60.5,5881,[107.66601562],67.63972789115647
61.0,5947,[107.66601562],68.19700680272109
61.5,6199,[107.66601562],68.74267573696144
62.0,5993,[107.66601562],69.31156462585034
62.5,5791,[107.66601562],69.8572335600907
63.0,5679,[107.66601562],70.4261224489796
63.5,5521,[107.66601562],70.97179138321995
64.0,5097,[107.66601562],71.54068027210884
64.5,4981,[107.66601562],72.08634920634921
65.0,5007,[107.66601562],72.64362811791383
65.5,4991,[107.66601562],73.17768707482993
66.0,5051,[107.66601562],73.75818594104308
66.5,4899,[107.66601562],74.30385487528345
67.0,4690,[107.66601562],74.86113378684807
67.5,4732,[107.66601562],75.39519274376417
68.0,4650,[107.66601562],75.97569160997732
68.5,4262,[107.66601562],76.52136054421769
69.0,4257,[107.66601562],77.09024943310658
69.5,4319,[107.66601562],77.62430839002268
70.0,4366,[107.66601562],78.19319727891157
70.5,4414,[107.66601562],78.73886621315192
71.0,4164,[107.66601562],79.21487528344672
71.5,4139,[107.66601562],79.85342403628118
72.0,4031,[107.66601562],80.42231292517006
72.5,4019,[107.66601562],80.96798185941043
73.0,4088,[107.66601562],81.53687074829932
73.5,3979,[107.66601562],82.07092970521542
74.0,3730,[107.66601562],82.63981859410431
74.5,3665,[107.66601562],83.19709750566894
75.0,3695,[107.66601562],83.66149659863946
75.5,3718,[107.66601562],84.28843537414966
76.0,3843,[107.66601562],84.86893424036282
76.5,3627,[107.66601562],85.41460317460317
77.0,3390,[107.66601562],85.98349206349206
77.5,3436,[107.66601562],86.51755102040816
78.0,3527,[107.66601562],87.08643990929706
78.5,3613,[107.66601562],87.63210884353741
79.0,3505,[107.66601562],88.2009977324263
79.5,3363,[107.66601562],88.75827664399092
80.0,3336,[107.66601562],89.29233560090702
80.5,3200,[107.66601562],89.87283446712019
81.0,3146,[107.66601562],90.4301133786848
81.5,3107,[107.66601562],90.98739229024945
82.0,2947,[107.66601562],91.50984126984127
82.5,2845,[107.66601562],92.04390022675736
83.0,2750,[107.66601562],92.5663492063492
83.5,2676,[107.66601562],93.20489795918368
84.0,2676,[107.66601562],93.77378684807256
84.5,2542,[107.66601562],94.31945578231291
85.0,2446,[107.66601562],94.87673469387757
85.5,2481,[107.66601562],95.43401360544216
86.0,2356,[107.66601562],96.01451247165532
86.5,2061,[107.66601562],96.57179138321996
87.0,1767,[107.66601562],97.11746031746031
87.5,2117,[107.66601562],97.63990929705216
88.0,2288,[107.66601562],98.19718820861678
88.5,2514,[107.66601562],98.7544671201814
89.0,2552,[107.66601562],99.31174603174604
89.5,2561,[107.66601562],99.84580498866214
90.0,2443,[107.66601562],100.42630385487529
90.5,2367,[107.66601562],100.97197278911564
91.0,2405,[107.66601562],101.52925170068028
91.5,2397,[107.66601562],102.06331065759638
92.0,2471,[107.66601562],102.64380952380952
92.5,2332,[107.66601562],103.18947845804988
93.0,2350,[107.66601562],103.75836734693875
93.5,2295,[107.66601562],104.29242630385488
94.0,2328,[107.66601562],104.86131519274376
94.5,2204,[107.66601562],105.41859410430838
95.0,2241,[107.66601562],105.97587301587302
95.5,2168,[107.66601562],106.53315192743764
96.0,2000,[107.66601562],107.09043083900228
96.5,1603,[107.66601562],107.63609977324263
97.0,1338,[107.66601562],108.19337868480726
97.5,1407,[107.66601562],108.73904761904762
98.0,1809,[107.66601562],109.3079365079365
