Second,Count,0,1,2,3,4,5,6,7,8,9,10,11
7.5,1669,0.08604483,0.039863944,0.11348622,0.08865389,0.31060514,1.0,0.54754084,0.061668552,0.06771586,0.1599613,0.3568732,0.25302956
8.0,2046,0.44942927,0.21861145,0.16736245,0.08098942,0.18847275,0.6140328,0.33613512,0.045367002,0.044733606,0.13986608,0.5194509,0.28184322
8.5,3695,0.70087737,0.313863,0.27240306,0.1003224,0.055463225,0.1530954,0.10093912,0.025582928,0.023820156,0.092850335,0.4305766,0.22315347
9.0,4026,0.49339885,0.1982543,0.14278087,0.44376063,0.2839615,0.48675248,0.21397878,0.1137009,0.0705889,0.10023341,0.3838854,0.22846903
9.5,4226,0.7776945,0.31871566,0.091656126,0.2266505,0.16395165,0.3722405,0.16251105,0.082235165,0.064954095,0.14398308,0.51807886,0.33173686
10.0,3857,0.3646866,0.16440539,0.11031428,0.109252356,0.20347096,0.59355795,0.32234135,0.07739519,0.03166507,0.10174622,0.54556626,0.244097
10.5,3318,0.11748124,0.060109515,0.08529892,0.08315744,0.30093825,0.9191836,0.5254993,0.11367484,0.12487363,0.19042078,0.28205132,0.2210207
11.0,3098,0.31217864,0.1879273,0.18945128,0.23692046,0.2263357,0.38466763,0.3785114,0.30198786,0.372127,0.5543436,0.71832544,0.53613704
11.5,2948,0.22759952,0.33106261,0.4894454,0.3157416,0.15830196,0.3428516,0.15843827,0.013963928,0.0058165775,0.036240865,0.02809331,0.07488644
12.0,2361,0.022539986,0.038272254,0.087211706,0.048835244,0.18334799,0.7020142,0.45732105,0.32318094,0.1038512,0.01578737,0.029747982,0.017861146
12.5,1777,0.005875218,0.016289735,0.10835532,0.06280497,0.010276411,0.021723105,0.2086382,0.92866874,0.49670795,0.058620486,0.037301276,0.020856908
13.0,1561,0.11682797,0.10832761,0.13433059,0.094044454,0.1582026,0.50902134,0.3782832,0.39470345,0.3011527,0.2811839,0.5220737,0.30526498
13.5,1831,0.029024063,0.01699669,0.014225094,0.02776634,0.18299338,0.6936685,0.47010306,0.34005243,0.16239205,0.035978813,0.038145494,0.03234047
14.0,1674,0.44425008,0.28447142,0.2430366,0.18820849,0.20167111,0.4245074,0.33772907,0.35435915,0.47208688,0.62829876,0.95897764,0.8160171
14.5,2082,0.38668513,0.3388015,0.36129412,0.3610584,0.55027187,0.94707614,0.7361978,0.55103123,0.45674208,0.512207,0.62435156,0.5402696
15.0,2280,0.3924113,0.26966017,0.2523118,0.30633283,0.3930121,0.6206413,0.39317286,0.29015854,0.2869975,0.34263957,0.5680653,0.50355124
15.5,2322,0.68565905,0.5262274,0.35130212,0.3311656,0.18962733,0.11433894,0.15645401,0.25114396,0.21032691,0.23841834,0.42164052,0.48182026
16.0,1494,0.5433361,0.41242263,0.36598316,0.3810453,0.28366962,0.16318321,0.20757578,0.38359118,0.38594684,0.44271648,0.6237117,0.5634582
16.5,1603,0.50036305,0.5019482,0.5960474,0.2875742,0.097023994,0.12972826,0.12896588,0.103460155,0.20562916,0.5451651,0.5222617,0.47359374
17.0,1697,0.45191538,0.25739804,0.19453715,0.14718224,0.19371296,0.36448658,0.2799162,0.23446268,0.40134847,0.6421875,1.0,0.8488541
17.5,1726,0.442865,0.502606,0.5868164,0.4458284,0.36502114,0.5855057,0.47894412,0.3742576,0.39466438,0.50560457,0.6718472,0.5658532
18.0,2338,0.15845574,0.16414642,0.23265104,0.24851668,0.34066743,0.69627976,0.47714213,0.41575003,0.2961114,0.21900205,0.1811102,0.15410167
18.5,2903,0.0044554914,0.005201221,0.015357224,0.009089397,0.010736347,0.01616443,0.12691538,0.5279745,0.4984111,0.5024996,0.24442005,0.023537628
19.0,3141,0.039439306,0.063638575,0.22759743,0.19940867,0.1829504,0.36897257,0.37615266,0.55985534,0.36984146,0.21117324,0.1259673,0.04667661
19.5,3630,0.31720644,0.4483906,0.63415986,0.36150986,0.21941482,0.35650727,0.3255841,0.2492432,0.2841256,0.5336384,0.47462243,0.31733495
