Second,Count,Spectral Centroid
163.5,1391,3544.0925946795173
164.0,1289,4810.795759331138
164.5,1719,3806.9075299248007
165.0,2104,4061.077036942248
165.5,2150,3402.641704261613
166.0,1954,3737.890914788608
166.5,2007,3997.137335388443
167.0,2040,3661.620953615082
167.5,1969,3572.840118192649
168.0,2094,3124.336307526922
168.5,2382,3770.26557398634
169.0,2338,3620.224680201606
169.5,2432,5616.976664497254
170.0,2296,3923.5456313321215
170.5,2280,4601.4021921672775
171.0,2162,4836.455089822331
171.5,2145,4278.013583842001
172.0,2268,3830.335212608194
172.5,2568,4304.20535196786
173.0,2887,3828.991361798181
173.5,2570,4069.672818010948
174.0,2420,3908.73285998668
174.5,2492,4311.08059465889
175.0,2416,3532.023576581855
175.5,2469,4069.284914679694
176.0,2498,3137.826307111169
176.5,2284,3896.672048055424
177.0,2348,3601.4367070446174
177.5,2144,3810.045778941446
178.0,1914,4609.489403505303
178.5,1725,3224.9939159667238
179.0,1670,4416.270375652017
179.5,1874,4628.13894963312
180.0,2000,4348.056496374246
180.5,2141,3302.9785869265183
181.0,2033,4956.133731609899
181.5,1916,3873.592004439429
182.0,1998,3960.9603170152254
182.5,1521,3488.8526452566466
183.0,1605,3769.973011995131
183.5,1615,3752.8219826514746
184.0,1588,3665.265662993293
184.5,1456,3106.2286978765387
185.0,1279,3550.425318936381
185.5,1258,3503.9601148316133
186.0,1241,3963.610654636914
186.5,1296,5224.766221548402
187.0,1295,4030.900778323603
187.5,1362,4610.891010712542
188.0,1219,4630.2809031109855
188.5,1209,4534.6438905898185
189.0,1167,3445.5127952324888
189.5,1169,4115.564842883872
190.0,1074,3661.734104171031
190.5,986,5270.119948708859
191.0,1058,4051.426070261102
191.5,953,4664.305020073925
192.0,1074,3963.5301205045616
192.5,988,4097.583768961154
193.0,1002,3232.702845443754
193.5,1001,4854.3713236170925
194.0,940,3827.61434311385
194.5,902,4148.967356323448
195.0,912,4747.246189442055
195.5,921,4064.633483856412
196.0,946,4516.134679485709
196.5,985,4674.293489892329
197.0,977,3878.606189889682
197.5,918,3038.4986278758565
198.0,912,4113.710359940444
198.5,830,3630.7315843292495
199.0,767,5424.048451973576
199.5,768,3642.7713089663816
200.0,822,4737.167170557513
200.5,661,3550.8268445875283
201.0,608,3984.28556667038
201.5,550,3217.8121845822416
202.0,362,4034.2636053507126
202.5,127,3367.910113868889
203.0,42,4364.220735486292
203.5,11,5520.356490973482
